Country Code,Year,Import
BFA,1970,
BFA,1971,
BFA,1972,
BFA,1973,
BFA,1974,
BFA,1975,
BFA,1976,
BFA,1977,
BFA,1978,
BFA,1979,
BFA,1980,11.641763236
BFA,1981,10.959438307
BFA,1982,11.2674520405
BFA,1983,9.441349758
BFA,1984,8.2094246989
BFA,1985,10.7787923295
BFA,1986,13.1432936528
BFA,1987,14.0930486535
BFA,1988,14.7343029172
BFA,1989,12.7021005886
BFA,1990,17.3902273741
BFA,1991,17.2924369908
BFA,1992,15.1308864244
BFA,1993,16.5127437507
BFA,1994,11.3268989813
BFA,1995,14.7651464983
BFA,1996,21.0053871708
BFA,1997,19.0739621821
BFA,1998,23.7514073554
BFA,1999,22.0125761628
BFA,2000,19.8372920903
BFA,2001,21.2983037926
BFA,2002,23.9930586815
BFA,2003,30.0319070048
BFA,2004,41.2329966498
BFA,2005,40.908327387
BFA,2006,48.7557131042
BFA,2007,54.4831714265
BFA,2008,65.5098487429
BFA,2009,60.7222757653
BFA,2010,66.4992783198
BFA,2011,78.1282820608
BFA,2012,116.0705609028
BFA,2013,141.4235942052
BFA,2014,116.1084822869
BFA,2015,100.0
BFA,2016,108.5957503186
BFA,2017,125.3619783937
BFA,2018,139.6490818736
BFA,2019,139.088637785
BFA,2020,133.9423052772
BFA,2021,149.8026261347
BFA,2022,
BFA,2023,
BGD,1960,
BGD,1961,
BGD,1962,
BGD,1963,
BGD,1964,
BGD,1965,
BGD,1966,
BGD,1967,
BGD,1968,
BGD,1969,
BGD,1970,
BGD,1971,
BGD,1972,
BGD,1973,
BGD,1974,
BGD,1975,
BGD,1976,
BGD,1977,
BGD,1978,
BGD,1979,
BGD,1980,6.5677864373
BGD,1981,6.8207979421
BGD,1982,6.2264028579
BGD,1983,5.4705524709
BGD,1984,7.1395894041
BGD,1985,6.4247282948
